,uri,type,title,dates
0,/agents/VKssjyZHv83gAdHRv5sZKu,agent,"Knowles, John H.",
1,/agents/8CHhmo4U2x7WF7mkcBTFJs,agent,Rockefeller Family Fund,
2,/agents/iYZY44KQw6GEWMaApLVv4i,agent,Simpson,
3,/agents/GbJueUwc2otV9gw9UbDBXq,agent,Avery family,
4,/agents/SRNoJNc26W7X6LbRkTYDAY,agent,American Philosophical Society,
5,/agents/WY9qPyw4n4U4ZwrR6rwWD9,agent,United States. International Development Advisory Board,
6,/agents/34iZSWxNyGUT2JRDLSawH4,agent,World Health Organization,
7,/agents/2crbiVwCMrb9jQsHwgX6rF,agent,"Commonwealth Fund Forum (1981 : Whitemarsh Township, Pa.)",
8,/agents/g2bT9UXb7WbH9QtgssBgom,agent,National Council of La Raza,
9,/agents/T4boBdR3Yx79HxWsz2vBQQ,agent,International Center for Living Aquatic Resources Management,
10,/agents/VavfKJGPBjVCW7e2zpvzbU,agent,Carnegie Corporation of New York,
11,/agents/WXGbz29SbEVGNh5N23KQJo,agent,U.S. Atomic Energy Commission. Division of Biology and Medicine,
12,/agents/XRRJDtQaDAw2dosos79o4Y,agent,Rockefeller Foundation. Paris (France),
13,/agents/oWZVnikxsEFKeuTwdA6Qyz,agent,Knight Foundation,
14,/agents/D4HyB3JG4JRUVXH7Z2WirN,agent,Centro Internacional de Agricultura Tropical,
15,/agents/HM9Z7EHLWRxnzNFdZbY8ki,agent,United States. Dept. of State. Bureau of Western Hemisphere Affairs,
16,/agents/NT6wN6MxgZfLkv5HRT4ych,agent,American Institute for Conservation of Historic and Artistic Works,
17,/agents/bCWiTUs9bCFpDQhParWbNk,agent,Netherlands Institute of Human Rights,
18,/agents/h2mWG9UiMdwYDNEjoAEtcx,agent,Hudson Hills Press,
19,/agents/Gh5UkbxyQUVa5cgy9Z8rnJ,agent,Edna McConnell Clark Foundation,
20,/agents/GArQzQodXhPhnjmsMgRXRD,agent,United States. President's Advisory Committee on Government Organization,
21,/agents/WSZpZmRZiXAkhqpsxPJvLM,agent,Rockefeller Foundation. New Delhi (India),
22,/agents/SKk3hEdgLkhE5gBb6R75ej,agent,Consultative Group on International Agricultural Research,
23,/agents/S6hnmk4wW8LvVu4cdbudXW,agent,Davison Fund,
24,/agents/6PRiSdZmEFHHES8dvjXY7y,agent,David Rockefeller Fund,
25,/agents/bpXqY3hbN5Ha3k5Fdg3E7M,agent,National Public Radio (U.S.),
26,/agents/77DBJ5TZbdHe5FpGxtF7eo,agent,Commission on Industrial Relations,
27,/agents/5QS7nYgw3wgC2yTVDk9Ek8,agent,North City Congress,
28,/agents/7JqGcN3BvpCQ3yh4nYp2N4,agent,Rockefeller Foundation. Cali (Colombia),
29,/agents/fierkGya6mwjypDd3fzff9,agent,National Broadcasting Company,
30,/agents/TDKxSMTB7eqijCkEi5f87F,agent,John and Mary R. Markle Foundation,
31,/agents/nokxWeFLqdk3KojNtzhKeq,agent,Pakistan Council Of Scientific And Industrial Research,
32,/agents/bpRs7yQnBG85hX3u6VARr9,agent,Princeton University,
33,/agents/3v76QNfGF8jXTBFpdqsfmA,agent,Southern Bancorp,
34,/agents/4EhNytq9tG9ffVkdGbyPo3,agent,United States. Citizens' Advisory Committee on Environmental Quality,
35,/agents/MJbnh6T3unGQpf3FeMELGk,agent,CBS Broadcasting Inc,
36,/agents/bKu4mhUd3RSSv2XiddKN5R,agent,Rockefeller Foundation. Mexico,
37,/agents/S5d3Yhe8btuUNyh7EpxqoQ,agent,Joyce Foundation,
38,/agents/nzmZyKPpMMrMmBybHnYYb5,agent,United States. National Monetary Commission,
39,/agents/GCFtj5Szg3SyQnkNPGM8cg,agent,Queens University At Kingston,
40,/agents/DowV7XmJ34uBxunha86eZK,agent,University of Arizona,
41,/agents/FKisJTKpoAxfkUp2ELBEsa,agent,United States. Outdoor Recreation Resources Review Commission,
42,/agents/eYcJKpFtvbv5ZsGK4esZug,agent,League of Nations,
43,/agents/Hc6LVpiz8nyvWTDmBV5Eow,agent,United States. Congress. Senate,
