,1,3,4,5
0,19:00 08 Abr,★ Puebla 1/1 2.00 +100,Empate 49/20 3.45 +245,★ Pumas Unam 59/20 3.95 +295
1,21:00 08 Abr,★ Mazatlan FC 17/10 2.70 +170,Empate 2/1 3.00 +200,★ Cruz Azul 39/20 2.95 +195
2,17:00 09 Abr,★ Atletico San Luis 15/8 2.875 +187,Empate 9/4 3.25 +225,★ LeÃ³n 13/8 2.625 +162
3,19:00 09 Abr,★ Toluca 15/8 2.875 +187,Empate 23/10 3.30 +230,★ Chivas de Guadalajara 8/5 2.60 +160
4,19:06 09 Abr,★ Monterrey 17/20 1.85 -118,Empate 53/20 3.65 +265,★ Santos Laguna 7/2 4.50 +350
5,21:00 09 Abr,★ America 12/25 1.48 -209,Empate 10/3 4.333 +333,★ FC Juarez 13/2 7.50 +650
6,19:00 10 Abr,★ Queretaro FC 3/1 4.00 +300,Empate 49/20 3.45 +245,★ Tigres UANL 1/1 2.00 +100
7,21:00 11 Abr,★ Pachuca 4/5 1.80 -125,Empate 57/20 3.85 +285,★ Tijuana Xolos de Caliente 16/5 4.20 +320
8,20:05 13 Abr,★ Chivas de Guadalajara 9/5 2.80 +180,Empate 9/4 3.25 +225,★ Monterrey 13/10 2.30 +130
9,21:00 14 Abr,★ Atlas de Guadalajara 3/5 1.60 -167,Empate 13/5 3.60 +260,★ Mazatlan FC 4/1 5.00 +400
10,19:00 15 Abr,★ Necaxa 11/10 2.10 +110,Empate 9/4 3.25 +225,★ Atletico San Luis 21/10 3.15 +210
11,21:00 15 Abr,★ FC Juarez 23/10 3.30 +230,Empate 23/10 3.30 +230,★ Pachuca 1/1 2.00 +100
12,21:06 15 Abr,★ Tijuana Xolos de Caliente 9/5 2.80 +180,Empate 9/4 3.25 +225,★ America 13/10 2.30 +130
13,17:00 16 Abr,★ LeÃ³n 1/1 2.00 +100,Empate 23/10 3.30 +230,★ Puebla 23/10 3.30 +230
14,19:00 16 Abr,★ Santos Laguna 4/5 1.80 -125,Empate 5/2 3.50 +250,★ Queretaro FC 57/20 3.85 +285
15,19:00 16 Abr,★ Tigres UANL 3/5 1.60 -167,Empate 13/5 3.60 +260,★ Toluca 4/1 5.00 +400
16,21:00 16 Abr,★ Cruz Azul 9/10 1.90 -112,Empate 5/2 3.50 +250,★ Chivas de Guadalajara 12/5 3.40 +240
17,12:00 17 Abr,★ Pumas Unam 6/4 2.50 +150,Empate 23/10 3.30 +230,★ Monterrey 6/4 2.50 +150
18,11:45 14 Abr,★ Atalanta 27/20 2.35 +135,Empate 49/20 3.45 +245,★ RB Leipzig 19/10 2.90 +190
19,14:00 14 Abr,★ Lyon 1/1 2.00 +100,Empate 51/20 3.55 +255,★ West Ham United 5/2 3.50 +250
20,14:00 14 Abr,★ Barcelona 12/25 1.48 -209,Empate 7/2 4.50 +350,★ Eintracht Frankfurt 11/2 6.50 +550
21,14:00 14 Abr,★ Glasgow Rangers 9/10 1.90 -112,Empate 49/20 3.45 +245,★ Sporting Braga 16/5 4.20 +320
22,14:00 12 Abr,★ Bayern Munich 1/4 1.25 -400,Empate 5/1 6.00 +500,★ Villarreal 9/1 10.00 +900
23,14:00 12 Abr,★ Real Madrid 27/20 2.35 +135,Empate 47/20 3.35 +235,★ Chelsea 2/1 3.00 +200
24,14:00 13 Abr,★ AtlÃ©tico Madrid 16/5 4.20 +320,Empate 51/20 3.55 +255,★ Manchester City 17/20 1.85 -118
25,14:00 13 Abr,★ Liverpool 3/10 1.30 -334,Empate 19/4 5.75 +475,★ Benfica 15/2 8.50 +750
26,09:00 09 Abr,★ Atletico San Luis U20 1/1 2.00 +100,Empate 11/5 3.20 +220,★ LeÃ³n Sub20 11/5 3.20 +220
27,09:00 09 Abr,★ America de Mexico Sub20 1/5 1.20 -500,Empate 17/4 5.25 +425,★ Juarez U20 9/1 10.00 +900
28,09:00 09 Abr,★ Deportivo Toluca Mexiquense Sub20 6/4 2.50 +150,Empate 2/1 3.00 +200,★ Chivas Guadalajara Sub20 8/5 2.60 +160
29,09:00 10 Abr,★ Queretaro Sub20 16/5 4.20 +320,Empate 9/4 3.25 +225,★ UANL Tigres U20 3/4 1.75 -134
30,12:00 11 Abr,★ Pachuca Sub20 10/11 1.909 -110,Empate 47/20 3.35 +235,★ Tijuana Sub20 47/20 3.35 +235
31,07:00 09 Abr,★ CF Cadiz 47/20 3.35 +235,Empate 9/4 3.25 +225,★ Real Betis 13/10 2.30 +130
32,09:15 09 Abr,★ RCD Mallorca 16/5 4.20 +320,Empate 12/5 3.40 +240,★ AtlÃ©tico Madrid 19/20 1.95 -106
33,11:30 09 Abr,★ Villarreal 27/20 2.35 +135,Empate 47/20 3.35 +235,★ Athletic Bilbao 11/5 3.20 +220
34,14:00 09 Abr,★ Real Madrid 21/50 1.42 -239,Empate 7/2 4.50 +350,★ Getafe 15/2 8.50 +750
35,07:00 10 Abr,★ Osasuna 19/20 1.95 -106,Empate 47/20 3.35 +235,★ CD Alaves 7/2 4.50 +350
36,06:30 09 Abr,★ Everton 7/2 4.50 +350,Empate 57/20 3.85 +285,★ Manchester United 4/5 1.80 -125
37,09:00 09 Abr,★ Southampton 3/1 4.00 +300,Empate 27/10 3.70 +270,★ Chelsea 10/11 1.909 -110
38,09:00 09 Abr,★ Arsenal 4/6 1.666 -150,Empate 57/20 3.85 +285,★ Brighton 9/2 5.50 +450
39,09:00 09 Abr,★ Watford 7/4 2.75 +175,Empate 5/2 3.50 +250,★ Leeds United 8/5 2.60 +160
40,11:30 09 Abr,★ Aston Villa 11/5 3.20 +220,Empate 5/2 3.50 +250,★ Tottenham 13/10 2.30 +130
41,08:00 10 Abr,★ Leicester City 29/20 2.45 +145,Empate 12/5 3.40 +240,★ Crystal Palace 39/20 2.95 +195
42,08:00 10 Abr,★ Brentford 2/1 3.00 +200,Empate 23/10 3.30 +230,★ West Ham United 29/20 2.45 +145
43,08:00 10 Abr,★ Norwich City 19/10 2.90 +190,Empate 11/5 3.20 +220,★ Burnley 8/5 2.60 +160
44,10:30 10 Abr,★ Manchester City 21/20 2.05 +105,Empate 27/10 3.70 +270,★ Liverpool 51/20 3.55 +255
45,06:30 16 Abr,★ Tottenham 3/5 1.60 -167,Empate 29/10 3.90 +290,★ Brighton 9/2 5.50 +450
46,09:00 16 Abr,★ Watford 17/10 2.70 +170,Empate 21/10 3.10 +210,★ Brentford 17/10 2.70 +170
47,09:00 16 Abr,★ Southampton 51/20 3.55 +255,Empate 12/5 3.40 +240,★ Arsenal 21/20 2.05 +105
48,09:00 16 Abr,★ Manchester United 2/9 1.222 -450,Empate 21/4 6.25 +525,★ Norwich City 12/1 13.00 +1200
